Date,No.,Description,Debit,Credit
8/20/2015,8446,FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US,300,
8/20/2015,8446,FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US,300,
8/20/2015,8446,FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US,300,
8/20/2015,8446,FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US,300,
8/21/2015,5635,WM SUPERCENTER #5270 LINDON UT 84042 US,107.07,
8/21/2015,8446,FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US,75,
8/21/2015,8446,FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US,75,
8/21/2015,8446,FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US,75,
8/21/2015,8446,FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US,75,
8/21/2015,8446,FLEET MANAGEMENT STRAT 999-9999999 FL 34285 US,75,
8/21/2015,1420,CLIMBER.COM 8003740120 619-6184200 CA 92101 US,227.15,
8/22/2015,8446,FMCSA OP1 COLLECTIO 405-954-3295 DC 20590 US,300,
8/22/2015,8446,MAVERIK #399 OREM UT 84057 US,20,
8/22/2015,1420,USAIRWAYS 0372414279699 800-428-4322 AZ 85034 US,268.2,
8/24/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,48,
8/24/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,48,
8/24/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,48,
8/24/2015,8446,UTAH CORPORATIONS REG 801-530-6431 UT 84114 US,48,
8/24/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,249.5,
8/25/2015,8446,GOOGLE *ADWS7953673087 CC@GOOGLE.COM CA 94043 US,350,
8/25/2015,8446,IN *EVILSIZOR PROCESS SER 303-4822965 CO 80123 US,65,
8/25/2015,8446,WM SUPERCENTER #5270 LINDON UT 84042 US,97.22,
8/25/2015,8446,WM SUPERCENTER #5270 LINDON UT 84042 US,148.37,
8/25/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 25-AUG,,3500
8/26/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,45.05,
8/26/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,203.5,
8/26/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,177.5,
8/26/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,179.5,
8/26/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,,161.5
8/27/2015,2788,CAPITAL ONE ONLINE PYMT AuthDate 27-AUG,,1000
8/28/2015,8446,EMBARK SAFETY LLC 4075367233 FL 32826 US,17.5,
8/28/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,20,
8/28/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,30,
8/28/2015,8446,OREILLY AUTO 00036236 PLEASANT GROV UT 84062 US,17.06,
8/28/2015,1420,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,203.5,
8/29/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,30.05,
8/29/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,33,
8/29/2015,8446,THE HOME DEPOT 4407 LINDON UT 84042 US,23.25,
8/29/2015,1420,SALT LAKE EXPRESS 2083569796 ID 83440 US,165.5,
8/31/2015,8446,EXXONMOBIL 47263868 OREM UT 84057 US,23.63,
8/31/2015,1420,USAIRWAYS 0372414989544 800-428-4322 AZ 85034 US,111.6,
8/31/2015,8446,POSTSCAN MAIL 800-6245866 CA 92801 US,24.9,
